transition_index,x_start,x_end,D_T,u
83,0.02075,0.021,0.02603545018625081,0.9033086886853028
84,0.021,0.02125,0.026196664968495334,0.9089020897021551
85,0.02125,0.021500000000000002,0.026353165420982393,0.9143319254646801
86,0.021500000000000002,0.021750000000000002,0.026504933482186712,0.9195975693221918
87,0.021750000000000002,0.022,0.026651952303407722,0.9246984367033652
88,0.022,0.02225,0.026794206256963375,0.9296339854005226
89,0.02225,0.0225,0.026931680944248592,0.9344037158492249
90,0.0225,0.02275,0.027064363203686426,0.9390071714041393
91,0.02275,0.023,0.027192241118553184,0.9434439386105348
92,0.023,0.02325,0.027315304024692965,0.9477136474719408
93,0.02325,0.0235,0.02743354251812804,0.9518159717141912
94,0.0235,0.02375,0.027546948462564447,0.9557506290458347
95,0.02375,0.024,0.027655514996802844,0.9595173814152554
96,0.024,0.02425,0.02775923654205982,0.9631160352646891
97,0.02425,0.0245,0.027858108809202434,0.966546441781228
98,0.0245,0.02475,0.027952128805909134,0.9698084971452707
99,0.02475,0.025,0.028041294843755053,0.9729021427763493
100,0.025,0.02525,0.028125606545239136,0.9758273655769382
101,0.02525,0.025500000000000002,0.028205064850750826,0.9785841981741645
102,0.025500000000000002,0.025750000000000002,0.02827967202549403,0.9811727191600389
103,0.025750000000000002,0.026000000000000002,0.028349431666364774,0.9835930533300772
104,0.026000000000000002,0.02625,0.02841434870880438,0.9858453719210734
105,0.02625,0.0265,0.02847442943362974,0.9879298928480792
106,0.0265,0.02675,0.028529681473846977,0.9898468809408059
107,0.02675,0.027,0.028580113821470906,0.9915966481802274
108,0.027,0.02725,0.028625736834346216,0.9931795539352442
109,0.02725,0.0275,0.028666562242992473,0.9945960052001724
110,0.0275,0.02775,0.028702603157479373,0.9958464568332835
111,0.02775,0.028,0.028733874074340148,0.9969314117966669
112,0.028,0.02825,0.028760390883548707,0.9978514213983043
113,0.02825,0.0285,0.028782170875557875,0.9986070855362637
114,0.0285,0.02875,0.028799232748421146,0.9991990529457911
115,0.02875,0.029,0.028811596615011432,0.9996280214497677
116,0.029,0.02925,0.028819284010344594,0.9998947382128015
117,0.02925,0.029500000000000002,0.02882231789903785,1.0
118,0.029500000000000002,0.029750000000000002,0.028820722682893214,0.9999446534400799
119,0.029750000000000002,0.03,0.028814524208655053,0.999729595294518
120,0.03,0.03025,0.028803749775925227,0.99935577273217
121,0.03025,0.0305,0.02878842814527725,0.9988241836107937
122,0.0305,0.03075,0.028768589546574505,0.9981358767656525
123,0.03075,0.031,0.028744265687520504,0.9972919523061692
124,0.031,0.03125,0.028715489762442075,0.9962935619206621
125,0.03125,0.0315,0.02868229646135227,0.9951419091907852
126,0.0315,0.03175,0.02864472197928616,0.9938382499154372
127,0.03175,0.032,0.02860280402594393,0.9923838924453314
128,0.032,0.03225,0.02855658183566355,0.9907801980290013
129,0.03225,0.0325,0.028506096177735862,0.9890285811706856
130,0.0325,0.03275,0.028451389367088683,0.9871305100010173
131,0.03275,0.033,0.028392505275367123,0.9850875066614585
132,0.033,0.03325,0.028329489342413038,0.9829011477025842
133,0.03325,0.0335,0.028262388588199967,0.9805730644981688
134,0.0335,0.03375,0.02819125162521041,0.9781049436746201
135,0.03375,0.034,0.028116128671299454,0.9754985275572867
136,0.034,0.03425,0.02803707156306732,0.9727556146344237
137,0.03425,0.0345,0.027954133769751636,0.9698780600391894
138,0.0345,0.03475,0.027867370407674365,0.9668677760508858
139,0.03475,0.035,0.02777683825525975,0.963726732616012
140,0.035,0.035250000000000004,0.027682595768643882,0.9604569578898435
141,0.035250000000000004,0.035500000000000004,0.027584703097898802,0.9570605387993322
142,0.035500000000000004,0.035750000000000004,0.027483222103894048,0.9535396216281237
143,0.035750000000000004,0.036000000000000004,0.02737821637580437,0.9498964126239935
144,0.036000000000000004,0.03625,0.027269751249292425,0.9461331786297016
145,0.03625,0.0365,0.027157893825376395,0.9422522477376111
146,0.0365,0.03675,0.02704271298998707,0.9382560099682272
147,0.03675,0.037,0.02692427943424473,0.9341469179737109
148,0.037,0.03725,0.02680266567544588,0.9299274877660206
149,0.03725,0.0375,0.026677946078764572,0.9256002994698472
150,0.0375,0.03775,0.026550196879682846,0.9211679981008448
151,0.03775,0.038,0.026419496207130022,0.9166332943684574
152,0.038,0.03825,0.026285924107320845,0.9119989655029904
153,0.03825,0.0385,0.026149562568292636,0.9072678561069359
154,0.0385,0.03875,0.026010495545094908,0.9024428790289345
155,0.03875,0.039,0.02586880898561975,0.8975270162599693
156,0.039,0.03925,0.025724590857022247,0.8925233198500314
157,0.03925,0.0395,0.02557793117267677,0.8874349128433774
