x,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10
0.0915,0.40094831006953796,0.76899344942831,1.073932392535471,1.2907408211698628,1.4016267043895096,1.397490372602695,1.2786712671475655,1.0549200845909998,0.7445986016795252,0.37317284600578426,0.16075954734761835,0.5913509252636509,1.1533307837369609,1.6660118674342517,1.9645574184577979,1.9529793415172194,1.6350002094287608,1.1128563848734823,0.5544270776231042,0.13925797299605677
0.09175,0.4020133322870884,0.7708568234982421,1.076097453126992,1.2925500286397893,1.4023551982350646,1.396453013567149,1.2753304597972601,1.0489812747857872,0.7360813727164326,0.36244790737678256,0.16161471933656896,0.5942202423338,1.1579857286263988,1.6706855765367201,1.9666001020169073,1.9500810191007718,1.6264677816866908,1.100361714851215,0.5418157872601077,0.13136848556180875
0.092,0.4030781065226171,0.7727182955555909,1.0782565396021875,1.2943464791627568,1.403062066028667,1.39538464410167,1.2719511048347476,1.0430010529959897,0.7275273656946988,0.35170061125357244,0.16247195995785826,0.5970935642863375,1.1626371651948837,1.6753328081210248,1.9685831611286315,1.9470983049947441,1.617859613090335,1.0878511965507431,0.529296067834668,0.12369331995613649
0.09225,0.4041426321193177,0.7745778610073588,1.0804096399745649,1.2961301550085236,1.4037472968695408,1.3942852879310783,1.2685333044030158,1.0369796553105237,0.7189370080124124,0.3409316205800023,0.16333126709633017,0.5999708627627353,1.167284990149969,1.6799533787224195,1.9705064734685427,1.9440314641410499,1.6091767443796343,1.0753268055279326,0.5168704214898396,0.11623436991130666
0.0925,0.40520690842053736,0.7764355152652535,1.0825567422908646,1.2979010385729295,1.404410880190579,1.393154969468302,1.2650771618070908,1.03091731944386,0.710310728883911,0.33014159963814355,0.16419263863172975,0.6028521093652196,1.1719291002794094,1.684547105928689,1.972369920397677,1.9408807689542258,1.6004202253258843,1.0627905195293135,0.504541331567593,0.10899347581163227
0.09275,0.40627093476977694,0.7782912537456971,1.0846978346311267,1.2996591123780683,1.4050528057585059,1.391993713813836,1.2615827815109124,1.024814284726638,0.7016489593183347,0.3193312140073133,0.16505607243870835,0.605737275657049,1.176569392453455,1.6891138083873485,1.9741733869698497,1.9376464992972358,1.5915911146048105,1.0502443181797705,0.4923112621125021,0.10197242423938452
0.093,0.4073347105106914,0.7801450718698398,1.0868329051087557,1.3014043590724618,1.405673063674035,1.390801546755184,1.2580502691341777,1.0186707920962175,0.6929521320980916,0.30850113052301875,0.16592156638682878,0.6086263331627976,1.1812057636271376,1.693653305812805,1.9759167619387479,1.9343289424566121,1.582690479668577,1.0376901826699352,0.480182657379291,0.09517294753398065
0.09325,0.4083982349870907,0.7819969650635697,1.0889619418705878,1.3031367614312293,1.406271644372022,1.3895784947662855,1.2544797314491474,1.012487084087169,0.6842206817572337,0.29765201723582346,0.16678911834057097,0.6115192533686339,1.1858381108425615,1.6981654189934725,1.9775999377647908,1.9309283931169356,1.5737193966167249,1.0251300954433378,0.4681579413443337,0.08859672336455494
0.0935,0.40946150754293936,0.7838469287575243,1.0910849330969565,1.3048563023562592,1.4068485386216123,1.388324585006929,1.2508712763774206,1.0062634048216963,0.6754550445597457,0.2867845433701389,0.16765872615933658,0.6144160077226033,1.19046633123119,1.7026499697988493,1.9792228106217662,1.9274451533346617,1.5646789500660774,1.0125660398833531,0.45623951722120804,0.0822453743160191
0.09375,0.41052452752235735,0.7856949583871021,1.0932018670017576,1.3065629648763766,1.4074037375263824,1.3870398453221475,1.2472250129866713,1.0000000000000002,0.6666556584777469,0.2758993792829435,0.16853038769745474,0.6173165676349102,1.1950903220161284,1.7071067811865477,1.9807852804032302,1.923879532511287,1.5555702330196024,1.0000000000000004,0.44442976698039827,0.07612046748871351
