n,d,R_survie_empirique,R_survie_exponentielle
0,0.07559989208625531,0.7535,0.6007287179258618
0,0.07559989208631789,0.75325,0.6007287179257478
0,0.07559989208633468,0.753,0.6007287179257171
0,0.07559989208640011,0.75275,0.6007287179255979
0,0.0755998920864169,0.7525,0.6007287179255673
0,0.07559989208645175,0.752,0.6007287179255038
0,0.07559989208652333,0.7515,0.6007287179253733
0,0.07559989208659815,0.75125,0.6007287179252369
0,0.07559989208661494,0.751,0.6007287179252063
0,0.07559989208669318,0.75075,0.6007287179250637
0,0.07559989208670996,0.7505,0.6007287179250331
0,0.07559989208675819,0.75,0.6007287179249452
0,0.07559989208684371,0.7495,0.6007287179247893
0,0.07559989208693316,0.74925,0.6007287179246262
0,0.07559989208694992,0.749,0.6007287179245957
0,0.07559989208704343,0.74875,0.6007287179244253
0,0.07559989208706021,0.7485,0.6007287179243948
0,0.07559989208712438,0.748,0.6007287179242777
0,0.07559989208722656,0.7475,0.6007287179240914
0,0.07559989208733338,0.74725,0.6007287179238967
0,0.07559989208735014,0.747,0.6007287179238662
0,0.07559989208746182,0.74675,0.6007287179236626
0,0.07559989208747858,0.7465,0.600728717923632
0,0.07559989208756174,0.746,0.6007287179234805
0,0.07559989208768374,0.7455,0.6007287179232582
0,0.07559989208781123,0.74525,0.6007287179230257
0,0.07559989208782802,0.745,0.6007287179229951
0,0.07559989208796129,0.74475,0.6007287179227523
0,0.07559989208797809,0.7445,0.6007287179227216
0,0.07559989208808379,0.744,0.6007287179225289
0,0.07559989208822937,0.7435,0.6007287179222636
0,0.07559989208838153,0.74325,0.6007287179219862
0,0.07559989208839829,0.743,0.6007287179219557
0,0.07559989208855727,0.74275,0.6007287179216658
0,0.07559989208857405,0.7425,0.6007287179216353
0,0.07559989208870664,0.742,0.6007287179213936
0,0.07559989208888025,0.7415,0.6007287179210772
0,0.07559989208906168,0.74125,0.6007287179207464
0,0.07559989208907845,0.741,0.6007287179207159
0,0.07559989208926801,0.74075,0.6007287179203703
0,0.0755998920892848,0.7405,0.6007287179203398
0,0.07559989208944928,0.74,0.60072871792004
0,0.07559989208965623,0.7395,0.6007287179196628
0,0.07559989208987244,0.73925,0.6007287179192686
0,0.07559989208988922,0.739,0.6007287179192381
0,0.07559989209011511,0.73875,0.6007287179188262
0,0.07559989209013189,0.7385,0.6007287179187957
0,0.07559989209033431,0.738,0.6007287179184267
0,0.07559989209058085,0.7375,0.6007287179179773
0,0.0755998920908384,0.73725,0.6007287179175079
0,0.07559989209085517,0.737,0.6007287179174773
0,0.07559989209112421,0.73675,0.600728717916987
0,0.07559989209114099,0.7365,0.6007287179169564
0,0.07559989209138843,0.736,0.6007287179165054
0,0.07559989209168196,0.7355,0.6007287179159703
0,0.07559989209198854,0.73525,0.6007287179154114
0,0.07559989209200534,0.735,0.6007287179153807
0,0.07559989209232555,0.73475,0.6007287179147972
0,0.07559989209234234,0.7345,0.6007287179147666
0,0.07559989209264321,0.734,0.6007287179142181
0,0.07559989209299253,0.7335,0.6007287179135813
0,0.07559989209335732,0.73325,0.6007287179129164
0,0.0755998920933741,0.733,0.6007287179128858
0,0.07559989209375506,0.73275,0.6007287179121914
0,0.07559989209377184,0.7325,0.6007287179121609
0,0.0755998920941361,0.732,0.600728717911497
0,0.07559989209455152,0.7315,0.6007287179107397
0,0.07559989209498533,0.73125,0.600728717909949
0,0.0755998920950021,0.731,0.6007287179099183
0,0.07559989209545508,0.73075,0.6007287179090927
0,0.07559989209547187,0.7305,0.6007287179090621
0,0.07559989209591124,0.73,0.6007287179082613
0,0.07559989209640505,0.7295,0.6007287179073612
0,0.07559989209692061,0.72925,0.6007287179064214
0,0.07559989209693739,0.729,0.6007287179063908
0,0.07559989209747567,0.72875,0.6007287179054096
0,0.07559989209749245,0.7285,0.6007287179053791
0,0.07559989209802083,0.728,0.600728717904416
0,0.07559989209860749,0.7275,0.6007287179033466
0,0.0755998920992199,0.72725,0.6007287179022303
0,0.07559989209923668,0.727,0.6007287179021997
0,0.07559989209985919,0.72675,0.600728717901065
0,0.07559989209987598,0.7265,0.6007287179010343
0,0.0755998921005265,0.72625,0.6007287178998487
0,0.07559989210056008,0.726,0.6007287178997874
0,0.07559989210122306,0.7255,0.600728717898579
0,0.07559989210195012,0.72525,0.6007287178972537
0,0.07559989210196691,0.725,0.600728717897223
0,0.07559989210270897,0.72475,0.6007287178958705
0,0.07559989210272576,0.7245,0.6007287178958399
0,0.07559989210350097,0.72425,0.6007287178944268
0,0.07559989210353454,0.724,0.6007287178943657
