paire,index,temps,distance
2-3,6560,65.6,9.406551044767733
1-3,6655,66.55,9.55499114491621
2-3,6630,66.3,9.68766182364005
1-3,6725,67.25,9.817055004920695
2-3,6699,66.99,9.950425827852445
1-3,6795,67.95,10.0651341166887
2-3,6769,67.69,10.210000973078616
1-3,6865,68.65,10.299893067049771
2-3,6838,68.38,10.441057984251202
1-3,6935,69.35000000000001,10.52191823657035
2-3,6907,69.07000000000001,10.676330791721172
1-3,7005,70.05,10.731729426462813
2-3,6977,69.77,10.883028677834448
1-3,7075,70.75,10.929789258868919
2-3,7046,70.46000000000001,11.08667206779327
1-3,7145,71.45,11.11651085070199
2-3,7116,71.16,11.27884093791655
1-3,7215,72.15,11.292264132436909
2-3,7185,71.85000000000001,11.453822288598936
1-3,7285,72.85000000000001,11.45738109147417
1-3,7355,73.55,11.612160152989016
2-3,7255,72.55,11.630915362108556
1-3,7425,74.25,11.756869863169289
2-3,7324,73.24,11.781738632001822
1-3,7495,74.95,11.891752000968097
2-3,7393,73.93,11.936903567570313
1-3,7565,75.65,12.017024220691289
2-3,7463,74.63,12.071253880889412
1-3,7635,76.35000000000001,12.132882303885548
2-3,7532,75.32000000000001,12.199456305030552
1-3,7704,77.04,12.239495449523
2-3,7602,76.02,12.322976282724433
1-3,7774,77.74,12.337003410594663
1-3,7844,78.44,12.425569465207717
2-3,7671,76.71000000000001,12.427697346941418
1-3,7914,79.14,12.505318693198031
2-3,7741,77.41,12.537889111883995
1-3,7984,79.84,12.576361527676232
2-3,7810,78.10000000000001,12.622538957669288
2-3,7879,78.79,12.709544732912718
2-3,7949,79.49,12.78342059902161
