time,E12,E13,E23
38.11,-1.5101704950207964,-0.04780225453057807,0.3141372530017773
38.12,-1.5111626980718982,-0.07491539357541471,0.3468332521565751
38.13,-1.5121629793217313,-0.10162998958718933,0.380365848687675
38.14,-1.51316621178206,-0.12795397823103433,0.414817831018375
38.15,-1.5141673496807757,-0.15389083284646854,0.45028023902192915
38.160000000000004,-1.5151614095737038,-0.17943876423707816,0.4868535509117584
38.17,-1.5161434514719736,-0.2045896806489707,0.5246490639843006
38.18,-1.5171085592924034,-0.22932783553462943,0.5637905038640519
38.19,-1.518051819771698,-0.2536280651212849,0.6044159024199574
38.2,-1.5189683001703673,-0.2774534818506859,0.6466797893271798
38.21,-1.5198530272842306,-0.30075243918390565,0.690755745530307
38.22,-1.5207009637603315,-0.32345451116072427,0.7368393705932983
38.230000000000004,-1.521506984790613,-0.3454651258559726,0.7851517079464614
38.24,-1.5222658562072775,-0.36665834008121934,0.8359431540119328
38.25,-1.522972213708893,-0.38686701854620476,0.8894978330286188
38.26,-1.5236205430909902,-0.40586934615985565,0.9461383261348137
38.27,-1.5242051720263012,-0.42337009658980174,1.0062304535568352
38.28,-1.5247202690870092,-0.4389743081703254,1.070187455059505
38.29,-1.5251598605936048,-0.4521498273205805,1.1384722253163617
38.300000000000004,-1.525517888917592,-0.4621733278602417,1.211594949406362
38.31,-1.5257883054793917,-0.4680515304001347,1.29010100230639
38.32,-1.5259652781826587,-0.46840487998722957,1.3745391536303022
38.33,-1.5260435144355107,-0.4612941994042951,1.465390847924527
38.34,-1.5260188476718013,-0.4439613302810764,1.5629232369150892
38.35,-1.5258891965773675,-0.41244372997975887,1.666893691918366
38.36,-1.5256561718570607,-0.3610187007232306,1.77596764064994
38.37,-1.5253276813520835,-0.28146755936830414,1.8865968902129127
38.38,-1.524921973024108,-0.16232647465553446,1.9909490416294684
38.39,-1.5244733286823777,0.011118741372494356,2.0734527619618985
38.4,-1.524038167065184,0.25385537168307404,2.10642580242085
38.410000000000004,-1.5236960699077855,0.570877909112785,2.049142405868217
38.42,-1.5235336156323243,0.9381090507092573,1.8619903782173084
38.43,-1.523602571364517,1.2918723496883315,1.5423260515816655
38.44,-1.5238780245361827,1.5588000829849693,1.147766045217023
38.45,-1.5242671576210682,1.7066635115920648,0.7609484464869494
38.46,-1.5246641394333995,1.7522851415121523,0.43546105893696885
38.47,-1.5249930000807375,1.7309492578274899,0.18451735083926601
38.480000000000004,-1.5252153184859067,1.6728730993848908,-0.0007746044677385266
38.49,-1.5253198629221658,1.5975653558303369,-0.1350743567816839
38.5,-1.5253107466974538,1.5160772676070093,-0.23170296241144792
38.51,-1.5251993188471857,1.4342226545841146,-0.30093112373285197
38.52,-1.5249995678979067,1.354870573972033,-0.3502143310269386
38.53,-1.5247257736895963,1.2793050427373118,-0.38485830168113155
38.54,-1.5243914124686198,1.207978441684691,-0.40863248789950696
38.550000000000004,-1.524008714189868,1.1409182974097134,-0.4242330235302904
38.56,-1.5235885522849288,1.0779447781040095,-0.4336087590649767
38.57,-1.5231404689453822,1.0187862768122042,-0.4381853526607569
38.58,-1.522672796170521,0.9631401867284067,-0.43901852363499116
38.59,-1.522192767898375,0.9107041235630093,-0.4368993102888307
38.6,-1.5217066532127397,0.8611911782544694,-0.43242700132970596
38.61,-1.5212198730212398,0.8143365664116947,-0.42606022686249795
38.62,-1.52073710586155,0.7698996991934395,-0.4181531752433207
38.63,-1.5202623819881893,0.7276638844552386,-0.4089815758851092
38.64,-1.519799162839213,0.6874348748232852,-0.398761560367662
38.65,-1.5193504126060084,0.6490389251385338,-0.3876635092754451
38.660000000000004,-1.518918657759962,0.6123207177695718,-0.37582232724305403
38.67,-1.5185060380372581,0.5771413408851087,-0.36334514456032
38.68,-1.518114353051619,0.5433764079779848,-0.35031714407053627
38.69,-1.5177450998504272,0.5109143569037389,-0.3368060078865903
38.7,-1.5173995061115875,0.47965493539019677,-0.3228653376068542
38.71,-1.5170785602112928,0.4495078657805052,-0.308537303606497
38.72,-1.5167830358220473,0.4203916759128323,-0.2938547098263485
38.730000000000004,-1.5165135147784206,0.39223267865199274,-0.27884261139633865
38.74,-1.5162704051544225,0.36496408410316855,-0.26351958696371136
38.75,-1.5160539597895577,0.3385252269074514,-0.24789874210501117
38.76,-1.515864290410132,0.31286089548287077,-0.23198850119677672
38.77,-1.515701381176759,0.2879207492372558,-0.21579323144242335
38.78,-1.5155651001313721,0.2636588128513298,-0.19931373219289897
38.79,-1.5154552094072233,0.24003303768047873,-0.18254761501452466
38.800000000000004,-1.5153713752202846,0.21700492167872304,-0.16548959396073226
38.81,-1.5153131748730706,0.19453918162745398,-0.14813170081617327
38.82,-1.5152801050330125,0.17260347067422754,-0.13046343683612832
38.83,-1.5152715872032232,0.1511681374256183,-0.11247186916996538
38.84,-1.5152869728040035,0.13020602209620014,-0.09414167840764692
38.85,-1.5153255503742271,0.10969228618568932,-0.07545516182184975
38.86,-1.5153865475445985,0.08960427500356133,-0.056392194399326634
38.87,-1.515469135239408,0.06992141008221159,-0.03693014973220371
38.88,-1.5155724324281623,0.05062511124489627,-0.017043781100036848
38.89,-1.5156955070168032,0.03169874906814879,0.003294939419327847
38.9,-1.5158373762890038,0.013127628187974805,0.02411702522662551
38.910000000000004,-1.515997012005947,-0.005100997114548034,0.04545672511086407
38.92,-1.5161733425789952,-0.02299787103623474,0.06735182518254518
38.93,-1.5163652486312995,-0.04057164345952857,0.08984400986156893
38.94,-1.5165715673615139,-0.057828731561249125,0.11297928615689223
38.95,-1.5167910909226032,-0.07477312642722511,0.13680848448147015
38.96,-1.5170225651393738,-0.09140613456128521,0.16138784652731986
